iteration,elapsed_s,iter_s,loss,policy_loss,value_loss,games,positions,buffer,selfplay_s,train_s,games_per_s
101,12356.4,123.8,2.5979,2.4876,0.1102,96,12473,80000,119.3,4.4,0.805
102,12470.7,114.3,2.6021,2.4925,0.1096,96,11120,80000,109.8,4.4,0.874
103,12589.9,119.2,2.6045,2.4942,0.1103,96,11591,80000,114.7,4.4,0.837
104,12710.6,120.7,2.6198,2.5052,0.1146,96,12201,80000,116.2,4.4,0.826
105,12833.2,122.6,2.6109,2.5062,0.1047,96,12247,80000,118.1,4.4,0.813
106,12951.0,117.8,2.6088,2.5004,0.1084,96,11591,80000,113.3,4.4,0.847
107,13074.6,123.6,2.5958,2.4941,0.1017,96,11768,80000,119.1,4.4,0.806
108,13193.7,119.1,2.5847,2.4807,0.1039,96,12143,80000,114.6,4.4,0.838
109,13318.7,125.0,2.5647,2.4689,0.0958,96,13737,80000,120.5,4.4,0.796
110,13441.7,123.0,2.5418,2.4516,0.0902,96,12527,80000,118.5,4.4,0.81
111,13568.0,126.3,2.5465,2.4479,0.0987,96,12199,80000,121.8,4.4,0.788
112,13693.5,125.5,2.5341,2.4362,0.0979,96,11976,80000,121.0,4.4,0.793
113,13811.5,118.0,2.5261,2.4284,0.0977,96,11852,80000,113.5,4.4,0.846
114,13931.0,119.5,2.5247,2.4265,0.0982,96,12701,80000,115.0,4.4,0.835
115,14051.2,120.2,2.5256,2.4249,0.1007,96,12403,80000,115.7,4.4,0.83
116,14180.0,128.8,2.5304,2.4304,0.1,96,12851,80000,124.3,4.4,0.772
117,14299.9,119.9,2.5234,2.4316,0.0918,96,12802,80000,115.4,4.4,0.832
118,14420.6,120.7,2.5116,2.4186,0.0931,96,11941,80000,116.2,4.4,0.826
119,14542.7,122.1,2.5206,2.4196,0.101,96,12239,80000,117.6,4.4,0.816
120,14660.5,117.8,2.5245,2.422,0.1025,96,11756,80000,113.4,4.4,0.847
121,14778.9,118.3,2.5288,2.4252,0.1036,96,12048,80000,113.9,4.4,0.843
122,14899.3,120.5,2.5293,2.4303,0.099,96,12326,80000,116.0,4.4,0.828
123,15022.6,123.3,2.5175,2.4274,0.09,96,13077,80000,118.9,4.4,0.808
124,15139.1,116.5,2.525,2.4171,0.1079,96,11500,80000,112.0,4.4,0.857
125,15256.2,117.1,2.527,2.4203,0.1067,96,11520,80000,112.6,4.4,0.853
126,15376.5,120.4,2.5306,2.4227,0.1079,96,12085,80000,115.9,4.4,0.828
127,15498.7,122.2,2.5185,2.4177,0.1008,96,12591,80000,117.7,4.4,0.816
128,15620.8,122.1,2.518,2.4151,0.103,96,12564,80000,117.6,4.4,0.816
129,15744.0,123.2,2.5074,2.4093,0.0981,96,12676,80000,118.7,4.4,0.809
130,15864.4,120.4,2.5014,2.4012,0.1001,96,11764,80000,115.9,4.4,0.828
131,15988.1,123.7,2.5057,2.4001,0.1056,96,12552,80000,119.3,4.4,0.805
132,16109.1,121.0,2.5004,2.4002,0.1001,96,11670,80000,116.5,4.4,0.824
133,16230.7,121.6,2.486,2.3943,0.0917,96,12697,80000,117.1,4.4,0.82
134,16353.2,122.5,2.5102,2.4102,0.1,96,12371,80000,117.9,4.4,0.814
135,16473.6,120.4,2.514,2.4107,0.1033,96,11888,80000,116.0,4.4,0.828
136,16599.9,126.3,2.5102,2.4062,0.104,96,13401,80000,121.9,4.4,0.788
137,16722.7,122.8,2.4974,2.3952,0.1022,96,12323,80000,118.3,4.4,0.811
138,16840.5,117.7,2.4945,2.389,0.1055,96,11992,80000,113.3,4.4,0.847
139,16963.9,123.4,2.484,2.3863,0.0977,96,12167,80000,118.9,4.4,0.807
140,17086.4,122.6,2.4633,2.3685,0.0948,96,12953,80000,118.1,4.4,0.813
141,17206.4,119.9,2.4652,2.364,0.1012,96,12414,80000,115.5,4.4,0.832
142,17329.9,123.6,2.4539,2.3567,0.0972,96,12838,80000,119.1,4.4,0.806
143,17455.5,125.5,2.4595,2.3607,0.0988,96,12857,80000,121.1,4.4,0.793
144,17580.4,124.9,2.4637,2.3612,0.1026,96,12547,80000,120.5,4.4,0.797
145,17707.6,127.2,2.4529,2.3617,0.0913,96,12886,80000,122.7,4.4,0.782
146,17828.6,121.0,2.4684,2.3735,0.0949,96,12475,80000,116.6,4.4,0.824
147,17951.5,122.9,2.4691,2.3806,0.0885,96,12306,80000,118.4,4.4,0.811
148,18068.7,117.2,2.4849,2.3871,0.0978,96,10965,80000,112.6,4.5,0.853
149,18191.9,123.2,2.5015,2.3996,0.102,96,12116,80000,118.5,4.6,0.81
150,18316.3,124.5,2.5141,2.4094,0.1048,96,12013,80000,119.8,4.6,0.802
151,18444.2,127.8,2.5186,2.4186,0.1,96,12232,80000,123.2,4.5,0.779
152,18566.3,122.2,2.5185,2.4097,0.1088,96,11964,80000,117.6,4.5,0.816
153,18691.8,125.5,2.5174,2.4191,0.0984,96,12935,80000,120.8,4.6,0.795
